Year,Round Number,Circuit Name,Race Name,Mean Track Temperature,Rainfall Status,Driver Abbr,Team,Driver Number,Sprint Position,Sprint Points,Quali Position,Race Position,Race Points
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,GRO,Haas F1 Team,8,,0,10.0,11,0.0
2018,8,Paul Ricard,French Grand Prix,34.29,Rain,ERI,Sauber,9,,0,15.0,13,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,GAS,Toro Rosso,10,,0,12.0,11,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,PER,Force India,11,,0,17.0,7,6.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,ALO,McLaren,14,,0,14.0,8,4.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,LEC,Sauber,16,,0,13.0,9,2.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,STR,Williams,18,,0,15.0,14,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,VAN,McLaren,2,,0,16.0,15,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,MAG,Haas F1 Team,20,,0,8.0,5,10.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,HUL,Renault,27,,0,10.0,R,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,HAR,Toro Rosso,28,,0,19.0,R,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,RIC,Red Bull Racing,3,,0,7.0,R,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,OCO,Force India,31,,0,11.0,6,8.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,VER,Red Bull Racing,33,,0,5.0,1,25.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,SIR,Williams,35,,0,18.0,13,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,HAM,Mercedes,44,,0,2.0,R,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,VET,Ferrari,5,,0,3.0,3,15.0
